,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,06/29/2020 23:19:02.739,4.04412,14.092,0.987,0.003,2.137,245.3,16,35.4,3,33.6924552917,-86.6395492554
1,06/25/2020 03:27:08.467,2.99605,4.035,0.954,0.004,1.048,152.9,10,16.7,1,33.6968574524,-86.632774353
2,06/25/2020 03:42:18.598,2.32239,4.191,0.968,0.012,0.415,114.1,11,4.4,1,33.6903953552,-86.6214294434
3,06/26/2020 23:21:07.857,1.92007,-0.367,0.964,0.011,0.013,2331.7,7,0.1,1,33.7040596008,-86.6395492554
4,06/26/2020 23:42:12.497,2.07599,1.364,0.865,0.014,0.147,115.7,13,1.7,1,33.6921081543,-86.6433181763
5,06/26/2020 23:42:48.337,2.03697,0.056,0.868,0.012,0.081,64.3,10,0.2,1,33.691570282,-86.6433334351
6,06/26/2020 23:55:28.657,2.00434,3.137,0.801,0.022,0.068,44.6,6,0.2,1,33.696182251,-86.6380462646
7,06/26/2020 23:56:32.145,2.2787,4.281,0.779,0.007,0.342,131.0,10,6.5,1,33.6946678162,-86.6369247437
8,06/26/2020 23:57:03.889,2.32294,4.69,0.808,0.006,0.387,174.2,13,20.8,1,33.6957893372,-86.6384048462
9,06/26/2020 23:58:00.209,2.61741,6.948,0.951,0.005,0.677,148.4,14,6.6,1,33.7010002136,-86.6352767944
10,06/29/2020 22:54:52.345,1.98785,8.56,0.776,0.006,0.089,109.6,8,0.8,1,33.7084617615,-86.6325759888
11,06/29/2020 23:18:16.659,2.87879,13.404,0.979,0.007,0.972,152.9,11,13.2,1,33.6963806152,-86.6339035034
